year_month,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176
200306,,,,,,,,,,,,2.860072136,3.017138481,3.113468647,4.262065411,4.262065411,,,,,,,,,,,,2.860072374,3.667440414,3.702604294,4.262064934,4.262064934,,,,,,,,,,,,,4.805843353,4.413372993,4.094398975,3.703798771,,,,,,,,,,,,,4.805842876,3.4266572,3.405115604,3.108587742,,,,,,,,,,,,,,3.715898037,2.908540249,3.404932737,,,,,,,,,,,,21.36333466,9.561065674,7.937797546,7.990286827,15.1642046,,,,,,,,,,,,21.34950256,21.36231613,14.22838688,14.71894932,16.56223679,,,,,,,,,,,,13.1951046,13.20929241,14.92067814,17.05482864,16.72171593,5.177577972,5.183917046,,,,7.278001785,7.278001785,18.61334229,18.61334419,22.69613266,12.44294071,12.41428185,12.2486639,15.28093147,14.05964184,13.13888836,5.177595139,5.183949471,5.66976881,,,7.278033257,7.278205395,18.59805298,18.61278152,22.69454002,23.13511276,13.98123074,14.86519241,17.14066124,14.13996887,10.86739063,5.466512203,5.669753551,5.66976881,,,7.510381699,9.800661087,11.39409351,12.55180359,13.70337677,15.90852451,17.06780052,13.51805401,11.57146645,10.37071323,9.71109581
200307,,,,,,,,,,,,2.974929333,2.962329626,2.842592001,2.473812819,3.318918467,,,,,,,,,,,,3.367012501,3.218364239,2.808333635,3.318908453,3.318918228,6.547807693,7.506648064,,,,,,,,,,,2.248589039,2.928382874,3.071307421,3.177469254,6.547773361,7.506618023,,,,,,,,,,,2.662258863,2.617863894,2.601067543,2.795737267,6.267753601,6.117420673,,,,,,,,,,,2.662334681,2.474887848,3.108919382,3.649365187,6.707616806,10.09705544,8.145897865,29.9323349,29.9323349,9.462874413,9.462874413,,,,6.164651394,6.664806843,4.216481686,4.324874401,4.576385975,5.39276886,9.570531845,8.368047714,6.700843811,29.93233299,29.9323349,9.46308136,9.464494705,,,,6.164651871,6.666351795,9.350259781,7.270010948,7.980684757,8.429003716,10.96294975,6.65032959,6.700728416,,,23.14287758,23.14452553,,,,6.164651394,12.02738762,11.15182209,9.783700943,8.968916893,8.862330437,10.22454643,8.840295792,14.71784878,14.71286774,11.23375416,20.78158569,20.78229332,12.93835735,13.59070873,14.54001904,14.28580952,13.84705257,11.34643936,10.51152325,8.844906807,7.999284267,9.541208267,8.840482712,9.283024788,10.10236073,11.23378181,12.98311615,16.93982697,12.93854523,13.59063053,14.53965187,19.83823013,11.81893349,10.55898952,8.958185196,7.454269886,6.985641956,11.90555573,13.70318699,9.78526783,10.52759171,11.53913498,12.22140408,13.79712486,13.48054123,12.48769188,12.18397141,11.40940571,10.02882481,8.633965492,8.730508804,7.583890438,7.319477081
200308,6.400883198,,,,,,,,,,,,,3.242598534,3.242598295,3.242598534,6.400883198,,,,,,,,,,,,,3.242598534,3.242598534,3.242598295,4.72674799,5.455228329,,,,,,,,,,,,2.729353189,3.022041082,3.171418667,4.646699905,5.455237865,6.232398033,,,,,,,,,,,1.852001905,1.845713854,1.79061079,5.1551404,5.630409241,6.232397556,,,,,,,,,,,1.738258004,1.402450562,1.333664894,5.43222332,6.627666473,6.583291054,5.823222637,5.823223114,3.236544132,3.236544132,,,,,3.039016247,1.870145202,1.748757124,1.731818318,1.80710423,6.390111923,6.495021343,6.583291531,5.823223114,5.823222637,3.236559153,3.236657858,,,,,3.040263653,3.039238214,2.387794018,2.837521076,2.531284332,7.038430214,6.495018482,,,,4.706030369,4.706301689,,,,,3.954472065,5.034699917,4.505314827,3.662000656,2.926228762,8.199016571,7.390335083,7.712399483,7.711437702,7.787110806,5.912950516,5.912751198,7.537142754,7.537142277,10.70225143,9.530667305,8.712325096,8.177875519,5.511565685,3.160731554,2.432991743,10.10708046,7.390321732,5.920447826,6.6541152,7.787039757,7.865490437,7.199374199,7.533287525,7.537065983,9.254550934,7.345641136,7.691542625,6.241411686,4.03387785,2.886261702,2.574074507,6.28365469,7.091335297,7.538542747,6.727173805,6.815474987,6.172841549,6.033307552,6.429576874,6.888579369,7.256661892,7.459904194,6.486935616,4.996770382,3.783869267,2.775597334,2.502708435
200309,,,,,,,,,,,,1.322147012,1.284477472,1.248422503,1.217324376,0.975211442,,,,,,,,,,,,0.919997513,0.948137283,1.022948861,0.97521764,0.975211442,4.014780045,,,,,,,,,,,,0.735148072,0.888728619,0.898329496,0.852210283,4.014779568,,,,,,,,,,,,0.735148072,0.881441832,0.878027856,0.832014501,4.014780045,,,,,,,,,,,,,0.872161925,0.929130793,1.036059737,4.221857071,4.327515125,4.55135107,4.802188396,4.802188396,3.287095547,3.287095547,,,,,0.82500267,0.789645135,0.927604139,0.983370423,0.987048686,5.357656479,5.425089836,4.55135107,4.80218792,4.802188396,3.287095308,3.287092447,,,,,0.825563848,0.825037241,0.953467906,0.981577754,1.062269926,5.020273209,5.425245762,,,,3.241101503,3.241091967,,,,,1.15645051,1.034522295,1.045741081,1.074109197,1.024741888,4.864693165,4.254013538,4.47065258,4.470829964,4.138916969,4.771622658,4.865385532,2.319213152,2.350626707,2.321066618,1.355006695,1.344932199,1.27773726,1.075922728,1.015983343,1.008164406,4.39833498,4.253992081,4.332077503,4.587233067,5.161518574,4.957346439,3.269883871,2.319143057,2.350587368,2.321003675,1.498935223,1.064358473,1.003135204,1.059841633,1.118540168,1.102931857,4.88603878,3.780996084,3.406142712,3.908670902,3.732747793,2.97070384,2.441324949,2.056321383,1.616054296,1.49245286,1.397665858,1.37253058,1.368560076,1.233979821,1.150265574,1.014436722
200310,,,,,,,,,,,,3.936089039,4.142274857,4.441860676,4.986294746,3.310199261,,,,,,,,,,,,3.766221523,3.689590454,3.431931973,3.310230255,3.310199022,,,,,,,,,,,,,3.821084499,3.698100567,3.565415144,3.390244246,,,,,,,,,,,,,3.988720655,3.586633682,3.092294216,4.090992451,,,,,,,,,,,,,3.988751411,2.600569963,2.171730757,2.40226531,3.616375208,3.611274719,3.927335739,,,,,,,,,,1.93260622,1.89780724,1.87377727,1.977908373,3.736083269,3.734140396,3.927335739,,,3.70851326,3.708513021,,,,,1.482686996,1.804885387,1.805449486,2.126709938,2.189557314,3.983297586,4.065238476,,,,3.708513498,3.70851326,,,,,1.482687116,1.767510176,2.115643501,2.245910883,2.307855368,3.924495697,3.925117731,3.917248487,3.965091944,3.971228838,4.53357935,4.533570766,2.851454973,2.851455212,2.01159215,1.966665506,1.943542123,2.100355625,2.168080091,2.115519524,2.172585487,4.004208565,3.925094604,3.917118788,3.965029001,3.971156836,3.650007725,3.123366356,2.850577831,2.85141778,2.738992214,2.215611935,2.058708906,2.162430048,1.944329143,1.964861035,2.075867653,3.895927906,3.685737371,3.003651142,3.127124071,3.155646324,3.294255495,2.920895338,2.378260374,2.239349365,2.189197302,1.831833124,2.272469997,2.356999636,2.451146126,1.872674465,1.993227363
200311,,,,5.856001854,5.856001854,,,,,,,2.539460421,2.577096462,2.652057171,2.807756186,2.517825842,,,,5.856001854,5.856001854,,,,,,,2.386253595,2.376751661,2.35882616,2.517830133,2.517825603,4.082661629,4.252963066,,,,,,,,,,,2.421027899,2.331986189,2.441198587,2.707466125,4.323532104,4.252963543,,,,,,,,,,,2.444849014,2.371483803,2.298215151,2.505675793,4.333190441,4.311099529,,,,,,,,,,,2.444855213,2.313288689,2.579339743,2.622490406,4.181970596,3.665701866,3.665629148,,,3.144744635,3.144744873,,,,2.63135767,2.641210318,2.090948343,2.391976357,2.655188799,2.627637625,4.663871765,4.759197235,3.665629148,,2.905207396,3.144721985,3.144699097,,,,2.63135767,2.641163826,2.820625305,2.604321003,2.73468256,2.540407419,4.663917065,4.759231567,,,2.905207396,2.878193855,2.744776964,,,,2.63135767,2.285083771,2.490221977,2.574572325,2.567926168,2.530139446,4.595426559,4.462934017,3.006473064,3.02871871,3.125099182,2.97573638,2.950355291,2.621905565,2.72014308,2.429786921,2.277926683,2.285736322,2.732984543,2.531008005,2.431770086,2.350111961,4.519751549,4.462502003,3.006454706,3.02869153,2.984893799,2.88698411,3.117251635,2.622075796,2.720183849,2.709998608,2.35312438,2.545522213,2.618614435,2.556269884,2.456470728,2.327817202,3.515359879,3.549386263,2.929266691,2.791799784,2.689232826,2.884481668,3.03777647,3.137123108,3.282569885,3.280792952,2.689194441,2.392915487,2.411482573,2.407942295,2.229381561,2.235092163
200312,,,,,,,,,,,,5.002471924,7.065299034,9.364329338,16.39960861,4.047367096,,,,,,,,,,,,5.589954376,5.374378204,4.863791466,4.047438145,4.047367573,,,,,,,,,,,,,4.959172249,4.178995132,4.00245142,3.938865423,,,,,,,,,,,,,3.721681356,3.577951193,3.419452429,2.841525793,,,,,,,,,,,,,3.721430779,2.914611816,2.520218134,2.554131746,,,,,,4.620543957,4.579711437,4.432807922,,,2.10162878,2.112748623,2.505471706,2.51311183,2.491774321,2.385939121,5.210371494,5.281569958,,,,4.620539665,4.579690933,4.432807922,,,2.10162878,2.112763643,2.608861923,2.566773176,2.542253971,2.467939138,5.210371971,5.281570435,,,,4.304872513,4.304828644,4.432807922,,,2.10162878,2.407189369,2.556135654,2.595470905,2.567571163,2.526978493,4.779258251,4.702238083,4.953904629,4.952929974,5.357051849,4.698339462,4.562405109,2.92448473,2.779681921,2.302690744,2.364828825,2.419409275,2.537842751,2.606197357,2.605667353,2.54935956,4.9366889,4.702139854,3.768020391,3.638543606,3.371564388,3.292466879,2.946871758,2.924331427,2.779665232,2.616599083,2.196965933,2.486783266,2.534572124,2.633423328,2.657580376,2.59551549,4.425422668,4.024295807,3.325705528,3.06515646,2.928493738,2.734873295,2.644392967,2.649606466,2.597383499,2.504312038,2.507250071,2.6434412,2.730365992,2.657615185,2.362092733,2.338059425
200401,,,,,,,,,,,,,26.5098362,26.50922394,21.94469833,21.94469833,,,,,,,,,,,,,20.4992733,20.61528015,21.94469833,21.94469833,,,,,,,,,,,,,,22.66783142,22.5206604,22.18453217,,,,,,,,,,,,,,22.66783142,22.5206604,22.18453217,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.580281258,,,,,,,,,,,,,,,,2.580281496,,,,,,,,,,,,,,,,,,,,,4.828820705,12.6180191,12.61853504,,,,6.213787079,5.94414711,3.526001692,3.364200592,1.962547779,1.962481856,,,,,4.828631401,4.789522171,4.437843323,3.304239988,,,6.213787079,5.708234787,4.639155388,3.364186525,2.050276041,1.742119551,,,,,3.924582481,3.838986635,3.630732775,3.30423975,,,,4.543214321,4.361307621,2.883634806,2.050278187,1.742117882
200402,,,,5.766268253,5.766268253,,,,,,,3.183044434,2.97238493,2.885972261,3.038828373,3.02421093,,,,5.766268253,5.766267776,,,,,,,2.764858484,2.763528109,2.765679598,3.024211645,3.02421093,5.083588123,4.96023035,4.912423611,4.912423611,,,,,,,,,3.622610569,2.977285624,2.883254528,2.891572952,5.08360815,4.960253239,4.912423611,4.912423611,,,,,,,,,3.622610331,2.73837471,2.735821962,2.689601898,5.213900566,5.267278194,4.912423611,4.912423611,,,,,,,,,,3.508595228,2.78412199,2.498322725,4.59497261,4.746356487,4.487137318,4.302319527,4.302319527,2.749868155,2.750959158,2.757453442,,,,2.200919867,2.548360348,2.57704258,2.567616463,2.407072544,4.49825716,4.5377388,4.487137794,4.302319527,4.302319527,2.749865294,2.750938892,2.757453442,,,,2.200779438,2.20092082,2.298810482,2.329964399,2.355570793,4.570064545,4.404780865,,,,2.43337822,2.433319092,2.757453442,,,,2.06141305,2.173382759,2.26154542,2.338408709,2.419050217,4.314026833,3.645991802,3.365122318,3.364646435,2.847846508,2.704324961,2.664529324,2.508440018,2.155210495,2.254984379,2.301038504,2.247915983,2.128500223,2.270102739,2.374202967,2.656920671,3.705789804,3.645909071,2.892445326,2.737699509,2.498625994,2.585072041,2.498672485,2.508406401,2.155209303,2.254960775,2.153512239,2.563788652,2.321000338,2.502001286,2.629816055,2.591074705,3.275366783,2.839011192,2.64292717,2.689482927,2.514353991,2.479406834,2.484365225,2.370286942,2.131770372,1.815477133,2.487516165,2.531891108,2.677054882,2.638008356,2.435861349,2.342074156
200403,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.668907881,1.580778241,1.478720903,,,,,,,,,,,,,,1.668907881,1.58077836,1.478720903,,,,,,,,,,,,1.957984328,1.934403062,1.688479424,1.460540771,1.287195921,,,,,,,1.312461734,1.282670736,1.454636455,1.723590612,1.700379014,1.897214413,1.886885643,1.82166791,1.790243149,1.641035914,,,,,,,1.312461734,1.282670617,1.454636574,1.723590374,1.700379014,1.736413598,1.736992955,1.655281663,1.665955544,1.757926822
